fuel_frac,crit_radius,ref_mult,mass_std
0.20,25.86686,0.00100,0.00024
0.29,21.29601,0.00100,0.00037
0.38,18.29664,0.00100,0.00042
0.47,16.15487,0.00100,0.00042
0.56,14.46531,0.00100,0.00047
0.64,13.14865,0.00100,0.00045
0.73,12.07490,0.00100,0.00047
0.82,11.15597,0.00100,0.00050
0.91,10.38266,0.00100,0.00045
1.00,10.00000,0.00100,0.00000
