T3_new	T4_new	p3_new	p4_new	m_dot_new	cyc_efficiency_new	q_reactor_new	UA_new	A_panel_new	mass_total_estimated	mass_total_thermal
957.460138980517	1100	17906.4	17422.9272	1.1337698414257	0.194147905351608	206028.491152448	10679.0938495722	50	803.213452839102	607.796111347368
960.700899212177	1100	17906.4	17422.9272	0.995676310347789	0.226162314076379	176864.125941384	11079.0938495722	50	770.248134412609	602.493096731191
962.567830079729	1100	17906.4	17422.9272	0.947181089171503	0.240937016418689	166018.491448777	11479.0938495722	50	761.280353227293	603.812363941372
964.125544751089	1100	17906.4	17422.9272	0.913382723136003	0.252686935244412	158298.647143391	11879.0938495722	50	756.407357187237	606.26161465685
965.489073514441	1100	17906.4	17422.9272	0.887115000272546	0.262779071544895	152219.123710414	12279.0938495722	50	753.683181490037	609.303846800448
966.70836402267	1100	17906.4	17422.9272	0.865595919147156	0.271750150190441	147194.030884502	12679.0938495722	50	752.340309888093	612.727259100773
967.812155371011	1100	17906.4	17422.9272	0.847398684622379	0.279880107444076	142918.338731854	13079.0938495722	50	751.979153168124	616.421582226498
968.819562628245	1100	17906.4	17422.9272	0.83167659372263	0.287338895113064	139208.442296893	13479.0938495722	50	752.359188838326	620.320442378083
969.744405909932	1100	17906.4	17422.9272	0.817880257749073	0.294239668515127	135943.600677159	13879.0938495722	50	753.322246316474	624.380191319394
970.59727587109	1100	17906.4	17422.9272	0.805629483923753	0.300663217227223	133039.220323949	14279.0938495722	50	754.757508053769	628.570248202401
971.386571001216	1100	17906.4	17422.9272	0.794649299770912	0.306669856187282	130433.426021409	14679.0938495722	50	756.583917517441	632.868244931642
933.889236261987	1100	17906.4	17422.9272	1.14720737875551	0.164943140600175	242507.811203624	6553.13565176781	60	855.635309714906	625.617453974139
940.745746874756	1100	17906.4	17422.9272	0.958863864479051	0.205730617189623	194429.00889726	6953.13565176781	60	797.89207869357	613.476807703395
944.73638801652	1100	17906.4	17422.9272	0.896048589636699	0.225742642748722	177192.92869502	7353.13565176781	60	780.552813628635	612.485907624388
948.00458679936	1100	17906.4	17422.9272	0.853521506016939	0.242025858470595	165271.596402002	7753.13565176781	60	770.17586832478	613.416306517009
950.802479086624	1100	17906.4	17422.9272	0.821230162698918	0.256205037971676	156124.954905931	8153.13565176781	60	763.433767964928	615.349765322503
953.247355065361	1100	17906.4	17422.9272	0.795291538282337	0.2689186940939	148743.842947687	8553.13565176781	60	759.004511299629	617.921468903355
955.410390542846	1100	17906.4	17422.9272	0.77372744282584	0.280502449992335	142601.250010804	8953.13565176781	60	756.197714552312	620.940901212404
957.340587651638	1100	17906.4	17422.9272	0.755374245890858	0.291162400422941	137380.375838007	9353.13565176781	60	754.598369385948	624.293537907403
959.074138652875	1100	17906.4	17422.9272	0.739483504574388	0.30103802681351	132873.578874404	9753.13565176781	60	753.934465363627	627.904315878548
960.639002939831	1100	17906.4	17422.9272	0.725543209425722	0.310230324946913	128936.460376158	10153.1356517678	60	754.016840130925	631.721034501696
962.057440573764	1100	17906.4	17422.9272	0.713186836245721	0.318816097739722	125464.179141467	10553.1356517678	60	754.70815171348	635.70579333516
909.799519784946	1100	17906.4	17422.9272	1.17201550340199	0.141263036238569	283159.707345149	4527.77309128555	70	941.041044117986	672.464999526063
920.97858940484	1100	17906.4	17422.9272	0.936866889732793	0.187594115006593	213226.305092747	4927.77309128555	70	854.668287167339	652.423842992391
927.660711812803	1100	17906.4	17422.9272	0.861898265899264	0.211709376242164	188938.254459954	5327.77309128555	70	828.090940838381	648.883632246613
933.054525720227	1100	17906.4	17422.9272	0.812408947983287	0.231767358739787	172586.856999605	5727.77309128555	70	811.910610165324	648.212547908869
937.583525614417	1100	17906.4	17422.9272	0.775560651083214	0.249462784626337	160344.558247093	6127.77309128555	70	801.113198799533	649.026916363342
941.460728029058	1100	17906.4	17422.9272	0.746425577667707	0.265460484434005	150681.560328216	6527.77309128555	70	793.694671525804	650.773710611819
